date,AQI
01/08/2021,44
01/09/2021,52
01/10/2021,28
01/11/2021,25
01/12/2021,24
01/13/2021,27
01/14/2021,17
01/15/2021,18
01/16/2021,23
01/17/2021,20
01/18/2021,25
01/19/2021,50
01/20/2021,13
01/21/2021,24
01/22/2021,28
01/23/2021,20
01/24/2021,35
01/25/2021,6
01/26/2021,32
01/27/2021,20
01/28/2021,21
01/29/2021,27
01/30/2021,27
01/31/2021,28
02/01/2021,27
02/02/2021,31
02/03/2021,45
02/04/2021,52
02/05/2021,41
02/06/2021,50
02/07/2021,57
02/08/2021,67
02/09/2021,72
02/10/2021,74
02/11/2021,87
02/12/2021,38
02/13/2021,32
02/14/2021,28
02/15/2021,32
02/16/2021,30
02/17/2021,32
02/18/2021,15
02/19/2021,41
02/20/2021,45
02/21/2021,15
02/22/2021,8
02/23/2021,13
02/24/2021,33
02/25/2021,27
02/26/2021,23
02/27/2021,48
02/28/2021,25
03/01/2021,16
03/02/2021,7
03/03/2021,25
03/04/2021,22
03/05/2021,32
03/06/2021,36
03/07/2021,40
03/08/2021,20
03/09/2021,21
03/10/2021,5
03/11/2021,4
03/12/2021,9
03/13/2021,44
03/14/2021,38
03/15/2021,18
03/16/2021,24
03/17/2021,40
03/18/2021,49
03/19/2021,32
03/20/2021,30
03/21/2021,23
03/22/2021,23
03/23/2021,25
03/24/2021,0
03/25/2021,18
03/26/2021,24
03/27/2021,24
03/28/2021,13
03/29/2021,24
03/30/2021,58
03/31/2021,18
04/01/2021,19
04/02/2021,45
04/03/2021,66
04/04/2021,59
04/05/2021,42
04/06/2021,45
04/07/2021,56
04/08/2021,51
04/09/2021,59
04/10/2021,58
04/11/2021,56
04/12/2021,56
04/13/2021,29
04/14/2021,31
04/15/2021,44
04/16/2021,52
04/17/2021,59
04/18/2021,5
04/19/2021,25
04/20/2021,52
04/21/2021,30
04/22/2021,32
04/23/2021,35
04/24/2021,44
04/25/2021,35
04/26/2021,2
04/27/2021,9
04/28/2021,18
04/29/2021,19
04/30/2021,30
05/01/2021,54
05/02/2021,25
05/03/2021,43
05/04/2021,57
05/05/2021,59
05/06/2021,55
05/07/2021,55
05/08/2021,50
05/09/2021,54
05/10/2021,43
05/11/2021,57
05/12/2021,61
05/13/2021,59
05/14/2021,59
05/15/2021,31
05/16/2021,14
05/17/2021,30
05/18/2021,52
05/19/2021,53
05/20/2021,39
05/21/2021,30
05/22/2021,29
05/23/2021,40
05/24/2021,30
05/25/2021,38
05/26/2021,49
05/27/2021,55
05/28/2021,55
05/29/2021,46
